State,GuinnessPrice,RPP,DPI,BigMacPrice,IrishAncestryNum,IrishAncestryPer
Alabama,6.30,94.623,48163,4.70,392052,8.01%
Alaska,7.30,105.527,65899,6.50,71425,9.69%
Arizona,7.60,98.112,55333,5.59,617231,8.60%
Arkansas,6.90,92.998,49360,5.49,283345,9.41%
California,8.40,108.348,68267,5.89,2331714,5.93%
Colorado,7.15,101.224,69353,5.69,619321,10.89%
Connecticut,7.30,101.249,73888,6.09,537144,15.04%
Delaware,6.90,94.798,57800,5.49,137609,14.22%
District of Columbia,8.40,107.718,84161,6.39,49498,7.05%
Florida,8.19,98.096,60397,4.29,1776586,8.37%
Georgia,6.70,97.859,51921,5.15,738036,7.02%
Hawaii,7.95,111.845,57427,5.31,62439,4.40%
Idaho,6.35,95.844,52950,5.39,159301,9.08%
Illinois,7.45,102.771,62317,6.09,1401831,11.02%
Indiana,6.20,94.183,53943,4.40,697417,10.41%
Iowa,6.50,93.337,56247,4.69,409015,12.98%
Kansas,6.70,93.679,56940,4.49,329541,11.31%
Kentucky,6.50,94.049,48937,4.69,500792,11.22%
Louisiana,6.90,93.859,52557,4.69,305477,6.55%
Maine,7.20,101.102,56489,6.29,223464,16.67%
Maryland,7.55,103.062,63688,5.19,594307,9.84%
Massachusetts,8.20,107.319,74342,7.09,1354532,19.71%
Michigan,6.30,93.043,53246,4.79,1017747,10.20%
Minnesota,6.65,100.04,62963,4.80,560185,10.00%
Mississippi,6.60,94.178,44436,5.40,201669,6.76%
Missouri,6.60,96.747,54995,5.69,750732,12.26%
Montana,6.50,96.199,56691,5.19,144683,13.63%
Nebraska,6.50,94.019,61114,4.29,229468,11.93%
Nevada,8.69,97.001,57934,4.49,246595,8.14%
New Hampshire,7.00,104.611,69245,6.29,278913,20.58%
New Jersey,7.80,104.702,69883,5.49,1181301,13.29%
New Mexico,7.60,97.555,50029,4.99,127440,6.08%
New York,7.40,104.335,66393,5.29,2167420,11.11%
North Carolina,7.30,95.823,53929,4.19,832880,8.02%
North Dakota,7.05,94.182,67093,5.39,56241,7.40%
Ohio,7.00,92.168,54146,4.29,1480335,12.68%
Oklahoma,6.60,93.48,53761,4.69,400967,10.15%
Oregon,7.45,109.029,57306,5.00,460088,11.02%
Pennsylvania,7.15,97.025,60071,4.29,1978043,15.46%
Rhode Island,7.25,101.122,58735,5.99,182012,17.21%
South Carolina,7.30,94.63,50345,4.89,435703,8.56%
South Dakota,6.30,94.002,64656,4.54,88957,10.12%
Tennessee,7.90,94.401,56041,5.09,628562,9.28%
Texas,7.60,97.124,59422,5.36,1745532,6.10%
Utah,7.20,94.705,55371,4.39,185927,5.90%
Vermont,6.30,100.566,59330,6.29,103241,16.54%
Virginia,7.15,100.734,63625,4.99,767238,9.02%
Washington,8.45,113.403,70589,4.49,759024,10.10%
West Virginia,5.65,94.675,48184,4.79,232834,12.88%
Wisconsin,6.90,92.315,57210,4.59,615730,10.60%
Wyoming,6.90,96.69,69039,4.19,66585,11.45%